question_id,difficulty_level,question,option_a,option_b,option_c,option_d,correct_option,expected_time,minimum_time
1,-0.5,"Corner points of feasible region for an LPP are (0,2), (3,0), (6,0) and (6,8). If z=2x+3y, find max(z)-min(z).",30,24,21,9,A,60,10
2,-1.5,"If x is real, find the minimum value of f(x) = x^2 - 8x + 17.",-1,0,1,2,C,45,5
3,1,"For a 3x3 skew-symmetric matrix with elements x,y,z,u,v,w, find the value of x^2 + y^2 + z^2 + u^2 + v^2 + w^2.",1,4,36,41,D,90,20
4,0.5,"Find x values satisfying |3x| >= |6-3x|. A:(0,1), B:[1,4], C:(4,inf), D:(-1,0), E:(-inf,0).",A and B only,C and E only,B and C only,D and E only,B,75,15
5,0,"Maximize z = 4x + 2y subject to 2x + 3y <= 28, x + y <= 10, x, y >= 0.",36,40,100/3,32,B,90,20
6,0.5,Evaluate the integral from -1 to 1 of e^|x| dx.,2(e^-1 - 1),2(e + 1),e - 1,2(e - 1),D,60,15
7,2,"Solve the differential equation y*e^(x/y) dx = (x*e^(x/y) + y^2) dy, with y(0) = 1.",e^(x/y) = y,e^(x/y) = y + C,e^(x/y) = x,y = e^x,A,120,30
8,-2,"If a and b are order and degree of y'' + (y')^2 + 2y = 0, find 2a + 6b.",2,4,8,10,D,30,5
9,2.5,"If the vectors a, b, c are coplanar, then the scalar triple product [a b c] is:",1,0,-1,Infinity,B,40,8
10,1.2,"Find the distance of the point (2, 3, 4) from the x-axis.",sqrt(25),sqrt(20),5,sqrt(13),C,50,10
11,-0.8,"If P(A) = 0.4 and P(B) = 0.5, and A and B are independent, find P(A and B).",0.1,0.2,0.9,0.05,B,30,5
12,0.3,The degree of the differential equation (d2y/dx2)^3 + (dy/dx)^2 + sin(dy/dx) + 1 = 0 is:,3,2,1,Not Defined,D,40,8
13,-2.5,What is the derivative of log(sin x)?,tan x,cot x,sin x,sec x,B,25,5
14,1.8,Find the area bounded by y = x^2 and the line y = 4.,32/3,16-Mar,08-Mar,4,A,80,15
15,-0.2,"In a 3x3 matrix, if every element is multiplied by k, the determinant becomes:",k|A|,k^2|A|,k^3|A|,3k|A|,C,20,4
16,2.2,The shortest distance between lines r = a + tb and r = c + sd involves which operation?,Dot product,Cross product,Both Dot and Cross,Addition only,C,100,20
17,0.7,Find the slope of the tangent to the curve y = x^3 - x at x = 2.,11,12,10,9,A,45,8
18,-1.2,"If f(x) = 2x + 3, find the inverse function f^-1(x).",(x-3)/2,(x+3)/2,2x-3,x/2 - 3,A,35,6
19,1.5,Integration of 1/(1+x^2) from 0 to 1 is:,pi/2,pi/4,pi/3,1,B,50,10
20,-0.5,The value of sin(inv sin 1/2 + inv cos 1/2) is:,0,1,01-Feb,sqrt(3)/2,B,20,4
21,2.8,For what value of k is the function f(x) = (sin 5x)/3x continuous at x=0?,05-Mar,03-May,1,0,A,60,12
22,0.1,Two events A and B are mutually exclusive if:,P(A and B) = 1,P(A) + P(B) = 1,P(A and B) = 0,P(A) = P(B),C,25,5
23,0.6,The value of tan(45) + cot(45) is:,1,2,0,0.5,B,15,3
24,1.9,"Area of a triangle with vertices (1,0), (6,0), (4,3) is:",7.5,15,5,10,A,55,10
25,-1.1,"Find the cofactor of the element a11 in [[1,2],[3,4]].",4,-4,1,-1,A,20,4
26,2.4,"Find the volume of a parallelepiped whose edges are i+j, j+k, k+i.",2,1,0,4,A,75,15
27,-2.1,The value of limit x->0 (sin x / x) is:,0,1,Infinity,Not defined,B,15,3
28,0.8,The function f(x) = |x| is not differentiable at:,x=1,x=-1,x=0,Anywhere,C,25,5
29,1.3,Projection of vector i on vector j is:,1,0,-1,0.5,B,20,4
30,-0.4,"If A is a square matrix such that A^2 = A, then (I+A)^3 - 7A is:",I,A,I-A,3A,A,40,8
31,2.6,"If y = e^(ax), find d2y/dx2.",a*e^(ax),a^2*e^(ax),e^(ax),ax*e^(ax),B,45,8
32,0.4,The distance of the plane 2x-3y+6z+7=0 from origin is:,1,7,0,01-Jul,A,40,8
33,1.4,Find the unit vector in the direction of i+j+k.,(i+j+k)/3,(i+j+k)/sqrt(3),i+j+k,sqrt(3)(i+j+k),B,25,5
34,-0.7,Derivative of e^(sin x) is:,e^(sin x),cos x * e^(sin x),sin x * e^(cos x),e^(cos x),B,30,5
35,2.1,Find the sum of the order and degree of (d2y/dx2) + (dy/dx)^3 + y = 0.,5,3,2,4,B,30,5
36,0.2,The value of cos^-1(-1/2) is:,pi/3,2pi/3,#NAME?,pi,B,30,6
